,BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA
"G953
494",,"18.10.2016
ID: 6692",,"KOTUR, Jasminka",,"Analogni elektronički sklopovi : udžbenik za predm Zagreb : Element, 2003",,,,,Dar,,6.64,,,DA,,621.38 KOT A,,,
"G954
495",,"05.06.2007
ID: 4829",,"MATAS, Mate, geograf",,"Opća geografija [udžbenik geografije za 1. razred Zagreb : Školska knjiga, 2005",,,,,Vlastita kupnja,,10.62,,,DA,,91(075) MATAS opć,,,
"G955
496",,"10.10.2006
ID: 5514",,"GUSIĆ, Ivica",,"Matematika 1 : I.dio : udžbenik za 1. razred četve Zagreb : Školska knjiga, 2005",,,,,Dar,,7.96,,,DA,,372(51) GUS m1,,,
"G956
497",,"10.10.2006
ID: 5515",,"GUSIĆ, Ivica",,"Matematika 1 : II.dio : udžbenik za 1. razred četv Zagreb : Školska knjiga, 2005",,,,,Dar,,7.96,,,DA,,372(51) GUS m1,,,
"G957
498",,"09.05.2007
ID: 4828",,"MATAS, Mate",,"Geografija svijeta : udžbenik za treći razred ekon Zagreb : Školska knjiga, 2005",,,,,Vlastita kupnja,,10.62,,,DA,,9(100)(075) MATAS geo,,,
"G958
499",,"10.10.2007
ID: 5631",,"PETRESKI, Antica",,"Kemija : za 1. razred ekonomskih škola / Antica Pe Zagreb : Školska knjiga, 2006",,,,,Dar,,7.96,,,DA,,54(075) PETRE kem-1,,,
"G960
500",,"10.10.2006
ID: 5075",,"HORVAT, Martina",,Catch up with Your English 1 : udžbenik engleskog Zagreb : Školska knjiga 2001,,,,,Dar,,6.64,,,DA,,37 HOR c,,,
"G961
501",,"10.10.2005
ID: 5078",,"HORVAT, Martina",,"Catch up with your english 1 : radni priručnik eng Zagreb : Školska knjiga, 2001",,,,,Dar,,5.31,,,DA,,372(802) HOR c1.rad,,,
"G962
502",,"10.10.2004
ID: 5074",,"HORVAT, Martina",,"Catch up with your english 2 / Martina Horvat. - Zagreb : Školska knjiga, 2003",,,,,Dar,,6.64,,,DA,,811.111(075) HOR c,,,
"G963
503",,"10.10.2005
ID: 5073",,"HORVAT, Martina",,"Catch up with your english 2 : radni priručnik eng Zagreb : Školska knjiga, 2003",,,,,Dar,,3.98,,,DA,,811.111(075) HOR c,,,
"G964
504",,"10.10.2006
ID: 5059",,"DEMEL, Miljenka",,"The World of Work and Money 3: udžbenik engleskog Zagreb : Školska knjiga, 2004",,,,,Dar,,6.64,,,DA,,372(802) DEM t3,,,
BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA,
"G965
505",,"10.10.2005
ID: 5060",,"DEMEL, Miljenka",,"The World of Work and Money 3 : radni priručnik en Zagreb : Školska knjiga, 2004",,,,,Dar,,6.64,,,DA,,372.811 DEM t3,,,
"G967
506",,"10.10.2005
ID: 5252",,DUJMOVIĆ-Markusi Dragica,,"Fon-fon 4 : udžbenik hrvatskoga jezika za 4. razre Zagreb : Profil, 2007",,,,,Dar,,3.98,,,DA,,811.163.42(075) DUJ f-4,,,
"G969
507",,"11.02.2016
ID: 6173",,"CARDINI, Franco",,"Povijesni atlas kršćanstva za mlade : 2000 godina Zagreb : Mozaik knjiga, 2004",,,,,Vlastita kupnja,,17.25,,,DA,,2 CAR P,,,
"G970
508",,"04.11.2019
ID: 6870",,STO čuda svijeta,,"[Sto] 100 čuda svijeta : najljepša blaga civilizac Zagreb : Mozaik knjiga, 2003",,,,,Vlastita kupnja,,13.27,,,DA,,930.85 STO 2.izd.,,,
"G971
509",,"18.02.2016
ID: 6228",,VELIKI atlas Hrvatske,,"Veliki atlas Hrvatske / [urednica Ivanka Borovac]. Zagreb : Mozaik knjiga, 2002",,,,,Vlastita kupnja,,61.05,,,DA,,91d VELIK,,,
"G972
510",,"11.02.2016
ID: 6169",,SVIJET u rekordima,,"Mačkice / Stanislav Femenić. -
Zagreb : Grafički zavod Hrvatske, [s.a.]",,,,,Vlastita kupnja,,10.62,,,DA,,Č 91 SVI,,,
"G975
511",,"04.03.2016
ID: 5374",,"RATKAJEC, Slavko",,"Ugostiteljsko posluživanje 1 [udžbenik za 1. razre Zagreb : Školska knjiga, 2005. (Zagreb : Grafički zavod Hrvatske)",,,,,Dar,,6.64,,,DA,,372.864.2(075.3) RAT u,,,
"G976
512",,"10.10.2006
ID: 5406",,"RATKAJEC, Slavko",,"Ugostiteljsko posluživanje 2 : udžbenik za drugi r Zagreb : Školska knjiga, 2008",,,,,Dar,,6.64,,,DA,,64 RATKA ugo,,,
"G977
513",,"12.05.2004
ID: 4806",,"PETRIČEVIĆ, Anita",,"Geografija 1 : udžbenik geografije zanprvi razred Zagreb : Profil, 2004",,,,,Dar,,6.64,,,DA,,372 PET g1,,,
"G978
514",,"19.05.2004
ID: 4805",,"JUKOPILA, Danijel",,"Geografija 2 [udžbenik geografije za drugi razred Zagreb : Profil international, 2004",,,,,Dar,,6.64,,,DA,,91(075) GEOGR 2,,,
"G979
515",,"19.05.2004
ID: 5496",,"PECAK, Božidar",,"Matematika 1: udžbenik sa zbirkom zadataka za 1. r Zagreb : Neodidacta, 2004.",,,,,Dar,,9.29,,,DA,,51 PECEK mat,,,
"G980
516",,"10.10.2005
ID: 5493",,"JANKOVIĆ, Biljana",,"Matematika za drugi razred ekonomske škole : udžbe Zagreb : Neodidakta, 2004",,,,,Dar,,9.29,,,DA,,372(51) JAN m2,,Otpisano 23.12.2019.,
"G982
517",,"12.04.2016
ID: 6455",,"BREKALO, Robert",,"Projektiranje tiskanih pločica skupom programskih Zagreb : Cad Cam Design Centar, 2000",,,,,Vlastita kupnja,,21.10,,,DA,,004.43 BRE P,,,
"G984
518",,"10.10.2006
ID: 5374",,"RATKAJEC, Slavko",,"Ugostiteljsko posluživanje 1 [udžbenik za 1. razre Zagreb : Školska knjiga, 2005. (Zagreb : Grafički zavod Hrvatske)",,,,,Dar,,9.29,,,DA,,372.864.2(075.3) RAT u,,,
BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA,
"G985
519",,"10.10.2006
ID: 5374",,"RATKAJEC, Slavko",,"Ugostiteljsko posluživanje 1 [udžbenik za 1. razre Zagreb : Školska knjiga, 2005. (Zagreb : Grafički zavod Hrvatske)",,,,,Dar,,9.29,,,DA,,372.864.2(075.3) RAT u,,,
"G986
520",,"10.10.2006
ID: 5374",,"RATKAJEC, Slavko",,"Ugostiteljsko posluživanje 1 [udžbenik za 1. razre Zagreb : Školska knjiga, 2005. (Zagreb : Grafički zavod Hrvatske)",,,,,Dar,,9.29,,,DA,,372.864.2(075.3) RAT u,,,
"G989
521",,"10.10.2007
ID: 4631",,"BARBER, Barrington",,"Škola crtanja / Barber Barrington ; [prevela s eng Zagreb : Mozaik knjiga, 2005",,,,,Vlastita kupnja,,19.91,,,DA,,74 BAR Š,,,
"G990
522",,"18.12.2019
ID: 6915",,"RATZINGER, Joseph",,"Bog i svijet / Joseph Ratzinger ; s njemačkoga pre Zagreb : Mozaik knjiga, 2003",,,,,Vlastita kupnja,,15.93,,,DA,,2 RATZ B,,,
"G991
523",,"11.02.2016
ID: 6170",,LJUDSKO tijelo,,"Ljudsko tijelo : slikovni rječnik / [ilustracije S Zagreb : Mozaik knjiga, 1995",,,,,Vlastita kupnja,,15.93,,,DA,,611 LJUDSKO,,,
"G992
524",,"10.10.2008
ID: 4262",,"AUSFELDER, Trude",,"Jaki bez droge / Trude Ausfelder ; [s njemačkog pr Zagreb : Mozaik knjiga, 2004",,,,,Vlastita kupnja,,13.27,,,DA,,613 AUS J,,,
"G993
525",,"10.10.2006
ID: 5370",,"MATASOVIĆ, Danko",,"Poznavanje robe i prehrana 2 : udžbenik za ugostit Zagreb, 2005",,,,,Dar,,10.62,,,DA,,372(864) MAT p,,,
"G994
526",,"18.02.2016
ID: 6228",,VELIKI atlas Hrvatske,,"Veliki atlas Hrvatske / [urednica Ivanka Borovac]. Zagreb : Mozaik knjiga, 2002",,,,,Vlastita kupnja,,61.05,,,DA,,91d VELIK,,,
"G995
527",,"10.10.2005
ID: 3219",,"BELLOW, Saul",,"Herzog / Saul Bellow ; prijevod Željko Bujas. - Zagreb : Globus media, 2004",,,,,Dar,,3.98,,,DA,,820(73)-3 BELLO her,,,
"G996
528",,"10.10.2005
ID: 3259",,"ECO, Umberto",,"Ime ruže / Umberto Eco ; prevela Morana Čale. - Zagreb : Globus media, 2004",,,,,Dar,,3.98,,,DA,,821.131.1 ECO ime,,,
"G997
529",,"10.10.1999
ID: 3302",,"NABOKOV, Vladimir Vladimirovič",,"Lolita / Vladimir Nabokov ; prijevod Zlatko Crnkov Zagreb : Globus media, 2004",,,,,Dar,,3.98,,,DA,,820(73)-3 NABOK lol,,,
"G998
530",,"05.05.2005
ID: 1498",,"ANDRIĆ, Ivo",,"Na Drini ćuprija / Ivo Andrić. - Zagreb : Globus media, 2004",,,,,Vlastita kupnja,,3.98,,,DA,,886.1 ANDR.I N,,,
"G1000
531",,"10.10.2005
ID: 3236",,"CAPOTE, Truman",,"Hladnokrvno ubojstvo / Truman Capote ; prijevod Br Zagreb : Globus media, 2004",,,,,Dar,,3.98,,,DA,,821.111 CAPOT hla,,,
"G1001
532",,"10.10.2005
ID: 3230",,"CONRAD, Joseph",,"Srce tame / Joseph Conrad ; prijevod Vladimir Cvet Zagreb : Globus media, 2004",,,,,Dar,,3.98,,,DA,,820 CON SR,,,
BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA,
"G1002
533",,"10.10.2005
ID: 3132",,"KRLEŽA, Miroslav",,"Na rubu pameti / Miroslav Krleža. - Zagreb : Globus media, 2004",,,,,Dar,,3.98,,,DA,,886.2 KRL N,,,
"G1003
534",,"10.10.2005
ID: 3218",,"BORGES, Jorge Luis",,"Aleph / Jorge Luis Borges ; prijevod Milivoj Teleć Zagreb : Globus media, 2004",,,,,Dar,,3.98,,,DA,,860 BOR A,,,
"G1004
535",,"10.10.2006
ID: 3300",,"LOWRY, Malcolm",,"Pod vulkanom / Malcolm Lowry ; prijevod Luko Palje Zagreb : Globus media, 2004",,,,,Dar,,3.98,,,DA,,820 LOWR P,,,
"G1005
536",,"10.10.2006
ID: 3253",,"GREENE, Graham",,"Mirni Amerikanac / Graham Greene ; prijevod Ljerka Zagreb : Jutarnji list, 2004",,,,,Dar,,3.98,,,DA,,821.111 GREENE mir,,,
"G1006
537",,"10.10.2006
ID: 3346",,"SOLŽENICIN, Aleksandar Isaevič",,"Jedan dan Ivana Denisoviča / Aleksandar Solženjici Zagreb : Globus media, 2004",,,,,Dar,,3.98,,,DA,,882-3 SOLŽE jed,,,
"G1007
538",,"10.10.2005
ID: 3280",,"KAFKA, Franz",,"Dvorac / Franz Kafka ; prijevod Predrag Milojević. Zagreb : Globus Media, 2004",,,,,Dar,,3.98,,,DA,,830 KAF DV,,,
"G1008
539",,"10.10.1999
ID: 3237",,"CALVINO, Italo",,"Ako jedne zimske noći neki putnik / Italo Calvino Zagreb : Globus media, 2004",,,,,Dar,,3.98,,,DA,,850-3 CALVI ako,,,
"G1009
540",,"10.10.2005
ID: 3289",,"PROUST, Marcel",,"Put k Swannu / Marcel Proust ; preveo Zlatko Crnko Zagreb : Globus media, 2004",,,,,Vlastita kupnja,,3.98,,,DA,,840 PRO PU,,,
"G1010
541",,"10.10.2004
ID: 3110",,"JERGOVIĆ, Miljenko",,"Sarajevski Marlboro / Miljenko Jergović. - Zagreb : Globus Media, 2004",,,,,Dar,,3.98,,,DA,,821.163.4 JERGO sar,,,
"G1011
542",,"10.10.2006
ID: 3260",,"DURAS, Marquerite",,"Ljubavnik / Marquerite Duras ; Ingrid Šafranek. - Zagreb : Globus media, 2004",,,,,Dar,,3.98,,,DA,,840 DUR LJ,,,
"G1012
543",,"26.01.2016
ID: 6108",,"GIDE, Andre",,"Krivotvoritelji novca / Andre Gide ; prijevod Dane Zagreb : Globus Media, 2004",,,,,Vlastita kupnja,,3.98,,,DA,,840-3 GIDEA kri,,,
"G1013
544",,"10.10.2006
ID: 3305",,"LAWRENCE, David Herbert",,"Ljubavnik Lady Chatterley / David Herbert Lawrence Zagreb : Globus media, 2004",,,,,Dar,,3.98,,,DA,,821.111 LAWRE lju,,,
"G1014
545",,"10.10.2005
ID: 3231",,"COETZEE, John Maxwell",,"Sramota / John Maxwell Coetzee ; preveo Petar Vuja Zagreb : Globus media, 2004",,,,,Dar,,3.98,,,DA,,820 COE S,,,
"G1015
546",,"10.10.2005
ID: 3277",,"KOESTLER, Arthur",,"Pomračenje o podne / Arthur Koestler ; preveo Želj Zagreb : Globus Media, 2004",,,,,Dar,,3.98,,,DA,,830 KOES P,,,
BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA,
"G1016
547",,"10.10.2006
ID: 3299",,"MANN, Thomas",,"Smrt u Veneciji / Thomas Mann ; preveo Zlatko Crnk Zagreb : Globus media, 2004",,,,,Dar,,3.98,,,DA,,830 MAN.T S,,,
"G1017
548",,"10.10.2006
ID: 3257",,"FAULKNER, William",,"Svjetlost u kolovozu / William Faulkner ; prijevod Zagreb : Globus medija, 2004",,,,,Dar,,3.98,,,DA,,820 FAU SVJ,,,
"G1018
549",,"10.10.2006
ID: 3303",,"ORWELL, George",,"Životinjska farma / George Orwell ; prijevod Vladi Zagreb : Globus media, 2004",,,,,Dar,,3.98,,,DA,,821.111 ORWELL živ,,,
"G1019
550",,"10.10.2005
ID: 3249",,"FORSTER, Edward Morgan",,"Put do Indije / Edward Morgan Forster ; prijevod Z Zagreb : Globus media, 2004",,,,,Dar,,3.98,,,DA,,820-3 FORST put,,,
"G1020
551",,"10.10.2006
ID: 3295",,"PIRANDELLO, Luigi",,"Pokojni Mattia Pascal / Luigi Pirandello ; prijevo Zagreb : Globus media, 2004",,,,,Dar,,3.98,,,DA,,850-3 PIRAN pok,,,
"G1021
552",,"10.10.2006
ID: 3304",,"MUSIL, Robert",,"Pomutnje gojenca Törlessa / Robert Musil ; prijevo Zagreb : Globus media, 2004",,,,,Dar,,3.98,,,DA,,830-3 MUSIL pom,,,
"G1022
553",,"10.10.2006
ID: 3319",,"WOOLF, Virginia",,"Svjetionik / Virginia Woolf ; prijevod Tomislav La Zagreb : Globus media, 2004",,,,,Dar,,3.98,,,DA,,820-3 WOOLF svj,,,
"G1023
554",,"10.10.2006
ID: 3254",,"HAŠEK, Jaroslav",,"Doživljaji dobrog vojnika Švejka za svjetskog rata Zagreb : Globus media, 2004",,,,,Dar,,3.98,,,DA,,885 HAŠ D,,,
"G1024
555",,"10.10.2006
ID: 3325",,"SHAKESPEARE, William",,"Tragedije / William Shakespeare ; s engleskog prev Zagreb : Globus media, 2004",,,,,Dar,,5.31,,,DA,,820 SHA TR,,,
"G1025
556",,"10.10.2005
ID: 3197",,"AUSTEN, Jane",,"Ponos i predrasude / Jane Austen ; prijevod Tomisl Zagreb : Globus media, 2004",,,,,Dar,,3.98,,,DA,,820 AUS PO,,,
"G1026
557",,"10.10.2006
ID: 3338",,STENDHAL,,"Crveno i crno : kronika XIX. stoljeća / Stendhal ; Zagreb : Globus media, 2004",,,,,Vlastita kupnja,,5.31,,,DA,,840-3 STEND crv,,,
"G1027
558",,"10.10.2005
ID: 3235",,"CHAUCER, Geoffrey",,Canterburyjske priče / Geoffrey Chaucer ; prijevod Zagreb : Globus media 2004,,,,,Dar,,6.64,,,DA,,820 CHAU C,,,
"G1028
559",,"10.10.2005
ID: 3211",,"BALZAC, Honore de",,"Sjaj i bijeda kurtizana / Honore de Balzac ; s fra Zagreb : Globus media, 2004",,,,,Vlastita kupnja,,6.64,,,DA,,840 BAL SJ,,,
"G1029
560",,"10.10.2005
ID: 3283",,"SADE, Markiz de",,"Justine ili Nedaće kreposti / Markiz de Sade ; s f Zagreb : Globus media, 2004",,,,,Dar,,3.98,,,DA,,840-3 SADE jus,,,
BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA,
"G1030
561",,"10.10.2005
ID: 3258",,GRČKE tragedije,,"Grčke tragedije / Eshil, Sofoklo, Euripid ; preveo Zagreb : Globus media, 2004",,,,,Vlastita kupnja,,3.98,,,DA,,87 GRČ,,,
"G1031
562",,"10.10.2006
ID: 3349",,"THACKERAY, William Makepeace",,"Sajam taštine : roman bez junaka / William Makepea Zagreb : Globus media, 2004",,,,,Dar,,3.98,,,DA,,820 THA V,,,
"G1032
563",,"10.10.2005
ID: 3208",,"DANTE, Alighieri",,"Božanstvena komedija / Dante Alighieri ; preveli s Zagreb : Globus media, 2004",,,,,Vlastita kupnja,,10.62,,,DA,,850 DANTE bož,,,
"G1033
564",,"10.10.2006
ID: 3241",,"DOSTOEVSKIJ, Fedor
Mihajlovič",,"Zločin i kazna / Fjodor Mihajlovič Dostojevski ; s Zagreb : Globus media, 2004",,,,,Dar,,6.64,,,DA,,882 DOS ZLO,,,
"G1034
565",,"10.10.2006
ID: 3321",,"ZOLA, Emile",,"Germinal / Emile Zola ; s francuskog preveo Tin Uj Zagreb : Globus media, 2004",,,,,Dar,,5.31,,,DA,,840-3 ZOLAE ger,,,
"G1036
566",,"10.10.2002
ID: 3245",,"GOETHE, Johann Wolfgang",,"Faust / Johan Wolfgang Goethe ; s njemačkog preveo Zagreb : Globus media, 2004",,,,,Dar,,3.98,,,DA,,830 GOET F,,,
"G1037
567",,"10.10.2006
ID: 3339",,"TOLSTOJ, Lev Nikolaevič",,"Rat i mir / Lav Nikolajevič Tolstoj ; s ruskog pre Zagreb : Globus media, [2005.] ([Zagreb] : Vjesnik)",,,1,,Vlastita kupnja,,5.31,,,DA,,821.161.1-31=163.42 TOL r ( 1),,,
"G1038
568",,"10.10.2006
ID: 3339",,"TOLSTOJ, Lev Nikolaevič",,"Rat i mir / Lav Nikolajevič Tolstoj ; s ruskog pre Zagreb : Globus media, [2005.] ([Zagreb] : Vjesnik)",,,2,,Vlastita kupnja,,5.31,,,DA,,821.161.1-31=163.42 TOL r ( 2),,,
"G1039
569",,"10.10.2005
ID: 3287",,"PUŠKIN, Aleksandr Sergeevič",,"Evgenij Onjegin / Aleksandar Sergejevič Puškin ; p Zagreb : Globus media, 2005",,,,,Dar,,3.98,,,DA,,882 PUŠ E,,,
"G1040
570",,"10.10.2005
ID: 3275",,"HUGO, Victor",,"Zvonar crkve Notre-Dame / Victor Hugo ; s francusk Zagreb : Globus media, [2005.] -",,,,,Dar,,5.31,,,DA,,840 HUG Z,,,
"G1041
571",,"10.10.2006
ID: 3317",,"TURGENEV, Ivan Sergeevič",,"Očevi i djeca / Ivan Sergejevič Turgenjev ; s rusk Zagreb : Globus media, 2005",,,,,Dar,,5.31,,,DA,,882-3 TURGE oče,,,
"G1042
572",,"10.10.2006
ID: 3240",,"DICKENS, Charles",,"Velika očekivanja / Charles Dickens ; preveo s eng Zagreb : Globus media, 2005",,,,,Dar,,3.98,,,DA,,820 DIC V,,,
"G1043
573",,"10.10.2006
ID: 3322",,"VERGILIUS Maro, Publius",,"Eneida / Vergilije ; s latinskog preveo Bratoljub Zagreb : Globus media, 2005",,,,,Dar,,5.31,,,DA,,87 VER E,,,
"G1044
574",,"10.10.2005
ID: 3274",,"HUGO, Victor",,"Jadnici / Victor Hugo ; s francuskog preveo Ljubo Zagreb : Globus media, 2005",,,1,,Dar,,5.31,,,DA,,840-3 HUGO jad ( 1),,,
BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA,
"G1045
575",,"10.10.2005
ID: 3274",,"HUGO, Victor",,"Jadnici / Victor Hugo ; s francuskog preveo Ljubo Zagreb : Globus media, 2005",,,2,,Dar,,5.31,,,DA,,840-3 HUGO jad ( 2),,,
"G1046
576",,"10.10.2005
ID: 3227",,"CERVANTES Saavedra, Miguel de",,"Bistri vitez Don Quijote od Manche / Miguel de Cer Zagreb : Globus media, 2004",,,1,,Dar,,3.98,,,DA,,860 CER D 1-2 ( 1),,,
"G1047
577",,"10.10.2005
ID: 3227",,"CERVANTES Saavedra, Miguel de",,"Bistri vitez Don Quijote od Manche / Miguel de Cer Zagreb : Globus media, 2004",,,2,,Dar,,3.98,,,DA,,860 CER D 1-2 ( 2),,,
"G1048
578",,"10.10.2005
ID: 3314",,"TWAIN, Mark",,"Pustolovine Huckleberryja Finna : (druga Toma Sawy Zagreb : Globus media, 2004",,,,,Dar,,3.98,,,DA,,820(73)-3 TWAIN pus,,,
"G1049
579",,"10.10.2006
ID: 3243",,"DICKENS, Charles",,"Oliver Twist / Charles Dickens ; prijevod Zlatko C Zagreb : Globus media, 2004",,,,,Dar,,3.98,,,DA,,820 DIC O,,,
"G1050
580",,"10.10.2006
ID: 3348",,"SWIFT, Jonathan",,"Gulliverova putovanja / Jonathan Swift ; s englesk Zagreb : Globus media, 2004",,,,,Dar,,3.98,,,DA,,O SWI G,,,
"G1051
581",,"10.10.2005
ID: 3279",,"KIPLING, Rudyard",,"Knjiga o džungli / Rudyard Kipling ; s engleskog p Zagreb : Globus media, 2004",,,,,Dar,,3.98,,,DA,,D KIP KNJ,,,
"G1052
582",,"10.10.2006
ID: 3313",,"VERNE, Jules",,"Put oko svijeta u 80 dana / Jules Verne ; [preveo Zagreb : Globus media, 2004",,,,,Dar,,3.98,,,DA,,O VER PUT.OK,,,
"G1053
583",,"10.10.2006
ID: 3255",,"GOGOL', Nikolaj Vasilevič",,"Mrtve duše / Nikolaj Vasilevič Gogol' ; s englesko Zagreb : Globus media, 2004",,,,,Vlastita kupnja,,3.98,,,DA,,882-3 GOGOL mrt,,,
"G1054
584",,"10.10.2005
ID: 3229",,"COOPER, James Fenimore",,"Posljednji Mohikanac : pripovijest iz godine 1757. Zagreb : Globus media, 2004",,,,,Dar,,3.98,,,DA,,820 COOP P,,,
"G1055
585",,"10.10.2008
ID: 3345",,"SIENKIEWICZ, Henryk",,"U pustinji i prašumi / Henryk Sienkiewicz ; s polj Zagreb : Globus media, 2004",,,,,Dar,,3.98,,,DA,,D SIE U,,,
"G1058
586",,"10.10.2004
ID: 3175",,"ŠENOA, August",,"Seljačka buna / August Šenoa. - Zagreb : Globus media, 2004",,,,,Dar,,3.98,,,DA,,886.2 ŠEN SE,,,
"G1059
587",,"10.10.2006
ID: 3296",,"MELVILLE, Herman",,"Moby Dick ili Bijeli kit / Herman Melville ; s eng Zagreb : Globus media, 2004",,,1,,Dar,,3.98,,,DA,,820 MEL M 1-2 ( 1),,,
"G1060
588",,"10.10.2006
ID: 3296",,"MELVILLE, Herman",,"Moby Dick ili Bijeli kit / Herman Melville ; s eng Zagreb : Globus media, 2004",,,2,,Dar,,3.98,,,DA,,820 MEL M 1-2 ( 2),,,
BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA,
"G1061
589",,"10.10.2006
ID: 3329",,"SCOTT, Walter",,"Ivanhoe / Walter Scott ; s engleskog preveo Mate M Zagreb : Globus media, [2004.]",,,,,Dar,,3.98,,,DA,,820 SCO.W I,,,
"G1062
590",,"10.10.2006
ID: 3242",,"DEFOE, Daniel",,"Robinson Crusoe / Daniel Defoe ; preveo s englesko Zagreb : Globus media, 2004",,,,,Dar,,3.98,,,DA,,820-3 DEFOE rob,,,
"G1063
591",,"10.10.2006
ID: 3306",,"LONDON, Jack",,"Zov divljine ; Jerry otočanin / Jack London ; s en Zagreb : Globus media, 2004",,,,,Dar,,3.98,,,DA,,820 LON ZO,,,
"G1064
592",,"10.10.2006
ID: 3335",,"STEVENSON, Robert Louis",,"Otok s blagom ; Dr. Jekyll i gospodin Hyde / Rober Zagreb : Globus media, 2004",,,,,Dar,,3.98,,,DA,,820 STEV O,,,
"G1065
593",,"10.10.2005
ID: 3312",,"TWAIN, Mark",,"Yankee na dvoru kralja Arthura / Mark Twain ; s en Zagreb : Globus media, 2004",,,,,Dar,,3.98,,,DA,,820 TWA Y,,,
"G1066
594",,"10.10.2006
ID: 3261",,"DUMAS, Alexandre",,"Grof Monte Christo I i II / Alexandre Dumas ; s fr Zagreb : Globus Media, 2004",,,1,,Dar,,3.98,,,DA,,"840-3 DUMAS gro 1,2 ( 1)",,,
"G1067
595",,"10.10.2006
ID: 3261",,"DUMAS, Alexandre",,"Grof Monte Christo I i II / Alexandre Dumas ; s fr Zagreb : Globus Media, 2004",,,2,,Dar,,3.98,,,DA,,"840-3 DUMAS gro 1,2 ( 2)",,,
"G1068
596",,"10.10.2006
ID: 3336",,"STOWE,HARRIET Beecher",,"Čiča Tomina koliba / Harriet Beccher-Stowe ; s eng Zagreb : Globus media, 2004",,,,,Dar,,3.98,,,DA,,820 STOW Č,,,
"G1070
597",,"02.03.2016
ID: 6281",,"SCHWAB, Gustav",,"Najljepše priče klasične starine / Gustav Schwab ; Zagreb : Globus media, 2004",,,,,Vlastita kupnja,,3.98,,,DA,,830-3 SCHWA naj,,,
"G1071
598",,"10.10.2006
ID: 3307",,"LEROUX, Gaston",,"Fantom opere / Gaston Leroux ; s engleskog prevela Zagreb : Globus media, 2005",,,,,Dar,,3.98,,,DA,,840 LER F,,,
"G1072
599",,"10.10.2006
ID: 3316",,"TWAIN, Mark",,"Kraljević i prosjak / Mark Twain ; s engleskog pre Zagreb : Globus media, 2005",,,,,Dar,,3.98,,,DA,,820 TWAIN kra,,,
"G1073
600",,"10.10.2006
ID: 3263",,"DUMAS, Alexandre, st.",,"Tri mušketira / Alexandre Dumas ; s francuskog pre Zagreb : Globus media, [2005?]",,,1,,Dar,,3.98,,,DA,,821.133.1 DUM t ( 1),,,
"G1074
601",,"10.10.2006
ID: 3262",,"DUMAS, Alexandre, st.",,"Tri mušketira : (dio drugi) / Alexandre Dumas ; s Zagreb : Globus media, 2005",,,,,Dar,,3.98,,,DA,,840 DUM t,,,
"G1075
602",,"10.10.2006
ID: 3239",,"DOSTOEVSKIJ, Fedor
Mihajlovič",,"Zapisi iz mrtvog doma / Fjodor Mihajlovič Dostojev Zagreb : Globus media, 2005",,,,,Dar,,3.98,,,DA,,882-3 DOSTO zap,,,
BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA,
"G1077
603",,"10.10.2008
ID: 4427",,HRVATSKI enciklopedijski rječnik,,"Hrvatski enciklopedijski rječnik / [autori Vladimi Zagreb : EPH [etc.], 2004-2005",,,,,Vlastita kupnja,,6.64,,,DA,,030.8:80 HRVATER,,,
