,BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA
"G86
25",,"10.10.1999
ID: 5281",,"ŠOŠIĆ, Hrvoje",,"Gospodarstvo / Hrvoje Šošić. - Zagreb : Školska knjiga, 1996",,,,,Dar,,6.64,,,DA,,330 ŠOŠ G 4.izd.,,,
"G89
26",,"10.10.1999
ID: 5014",,"HARRISON-PAJ, Elizabeth",,"Can I Help you 1 --- with your English? : udžbenik Zagreb : Školska knjiga, 1998",,,,,Vlastita kupnja,,5.31,,,DA,,372 HAR c1,,Otpisano 04.12.2023.,
"G90
27",,"10.10.2000
ID: 5854",,"DAROVEC, Darko",,"Pregled istarske povijesti / Darko Darovec ; [sa s Pula : C.A.S.H., 1996",,,,,Dar,,7.96,,,DA,,949.75 DAR P,,,
"G91
28",,"26.09.1997
ID: 3052",,"GRMEK, Mirko Dražen",,"Povijest side : počeci, širenje i uzroci jedne epi Zagreb : Nakladni zavod Globus, 1996",,,,,Vlastita kupnja,,3.98,,,DA,,616 GRMEK pov,,,
BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA,
"G94
29",,"10.10.2002
ID: 4896",,"MATAS, Mate",,"Zemljopis I : udžbenik zemljopisa za I. razred sre Zagreb : Školska knjiga, 1997",,,,,Vlastita kupnja,,6.64,,,DA,,911 MATAS zem,,Otpisano 23.12.2019.,
"U95
30",,"19.05.2021
ID: 7049",,"ELEZOVIĆ, Neve",,"Matematika 4 : udžbenik i zbirka zadataka za 4. ra Zagreb : Element, 2005.",,,,,Dar,,6.64,,,DA,,51 ELE M-,,,
"U96
31",,"19.05.2021
ID: 7050",,"ELEZOVIĆ, Neve",,"Matematika 4 : udžbenik i zbirka zadataka za 4. ra Zagreb : Element, 2005.",,,,,Dar,,6.64,,,DA,,51 ELE M-,,,
"U97
32",,"19.05.2021
ID: 7052",,"VAROŠANEC, Sanj",,"Matematika 3 : udžbenik i zbirka zadataka za 3. ra Zagreb : Element, 2005.",,,,,Dar,,6.64,,,DA,,51 VAR MA-4,,,
"U98
33",,"27.05.2021
ID: 7053",,"IVANOVIĆ-IŽAKOVIĆ, Danijela",,"Baze podataka u informacionim sistemima / Dušan Al Beograd : Savezni zavod za statistiku, 1979.",,,,,Dar,,6.64,,,DA,,004.6 IVA m,,,
"G100
34",,"17.05.2016
ID: 6566",,"SLIJEPČEVIĆ, Milivoj",,"Čovjek, zdravlje i okoliš : udžbenik iz biologije Zagreb : Školska knjiga, 1997",,,,,Dar,,6.64,,,DA,,57 SLI Č,,,
"U100
35",,"24.06.2021
ID: 7057",,"HOLJEVAC, Željko",,"Povijesni pregled za strukovne škole : udžbenik po Zagreb: Meridijani, 2014.",,,,,Dar,,6.64,,,DA,,94(075) HOLJ p,,,
"U101
36",,"24.06.2021
ID: 7058",,"LUKIĆ, Igor",,"Etika 1, Smisao i orjentacija / udžbenik etike u 1 Zagreb: Školska knjiga, 2014",,,,,Dar,,6.64,,,DA,,17 LUK E,,,
"U102
37",,"24.06.2021
ID: 7059",,"LUKIĆ, Igor",,"Etika 1, Smisao i orjentacija / udžbenik etike u 1 Zagreb: Školska knjiga, 2014",,,,,Dar,,6.64,,,DA,,17 LUK E,,,
"U103
38",,"24.06.2021
ID: 7058",,"LUKIĆ, Igor",,"Etika 1, Smisao i orjentacija / udžbenik etike u 1 Zagreb: Školska knjiga, 2014",,,,,Dar,,6.64,,,DA,,17 LUK E,,,
"U104
39",,"24.06.2021
ID: 7060",,"LUKIĆ, Igor",,"Etika 1, Smisao i orjentacija / udžbenik etike u 1 Zagreb: Školska knjiga, 2014",,,,,Dar,,6.64,,,DA,,17 LUK E,,,
"G105
40",,"10.10.2000
ID: 5131",,"ROSANDIĆ, Dragutin",,"Književnost 1 : udžbenik za 1. razred trogodišnnji Zagreb : Profil, 1997",,,,,Dar,,5.31,,,DA,,82(075) ROSAN knji.1,,,
"U105
41",,"24.06.2021
ID: 7061",,"SRNIĆ, Vesna",,"Kulturno-povijesna baština Primorsko-goranske župa Rijeka : Adamić : Primorsko-goranska županija...[etc.], 2005",,,,,Dar,,3.98,,,DA,,71(497.SRL ku,,,
"G106
42",,"10.10.2000
ID: 5129",,"ROSANDIĆ, Dragutin",,"Književnost 1 : radni listovi za 1. razred gimnazi Zagreb : Profil, 1996",,,,,Dar,,5.31,,,DA,,82(091) ROSAN knjRl,,,
BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA,
"U106
43",,"24.06.2021
ID: 7062",,"ĐURIĆ, Vesna",,"Hrvatska povijest od doseljenja Hrvata do naših da Zagreb : Profil International, [1998?]",,,,,Dar,,6.64,,,DA,,94(497.5) ĐURI H,,,
"U107
44",,"24.06.2021
ID: 7063",,"DŽEKO, Dinka",,"Hrvatska povijest od doseljenja Hrvata do naših da Zagreb : Profil International, [1998?]",,,,,Dar,,3.98,,,DA,,94(497.DŽE h,,,
"G108
45",,"10.10.2000
ID: 5720",,"SPRINGER, Oskar P.",,"Higijena : udžbenik za strukovne škole / Oskar P. Zagreb : Profil International, 1997",,,,,Vlastita kupnja,,6.64,,,DA,,613 SPR H,,,
"U108
46",,"29.06.2021
ID: 7067",,"HORVATIĆ BILIĆ,  Irena",,"Guten appetit, udžbenik njemačkog jezika za II. ra Zagreb : Školska knjiga, 2008",,,,,Dar,,6.64,,,DA,,811.112.2 HOR z,,,
"U109
47",,"29.06.2021
ID: 7066",,"ERCEG, Vesna",,"Gospodarska matematika 2 : udžbenik i zbirka zadat Pula : HoReBa, 2009",,,,,Dar,,6.64,,,DA,,51 ERC G,,,
"U110
48",,"14.09.2021
ID: 7068",,"ZRINJAN, Snježana",,"Čitanka 2 : čitanka za 2. razred trogodišnje struk Zagreb : Školska knjiga, 2001",,,,,Dar,,6.64,,,DA,,82(091) ZRI Č-2,,,
"U111
49",,"14.06.2022
ID: 7164",,"ATLAS, povijesni",,"Povijesni atlas / priredio Josip Lučić ; karte izr Zagreb : Kartografija-učila, 1984",,,,,Dar,,18.12,,,DA,,93 POv,,,
"U112
50",,"08.09.2022
ID: 7170",,"CRNOJA, Stipe",,"Osnove i regulacija sustava grijanja, ventilacije Zagreb : Alfa, 1996",,,,,Dar,,6.64,,,DA,,628 CRN t,,,
"U113
51",,"17.11.2022
ID: 7177",,"Labor, Jakov",,"Fizika 1 [udžbenik za 1. razred srednjih strukovni Zagreb : Alfa, 2016",,,,,Dar,,6.64,,,DA,,53 LAB f,,,
"U114
52",,"17.11.2022
ID: 7176",,"Labor, Jakov",,"Fizika 2 [udžbenik za 2. razred srednjih strukovni Zagreb : Alfa, 2016",,,,,Dar,,6.64,,,DA,,53 LAB f,,,
"U115
53",,"17.11.2022
ID: 7175",,"ROGINIĆ, Tatjana",,"Fizika I : udžbenik za dvogodišnji i trogodišnji p Zagreb : Školska knjiga, 2007",,,,,Dar,,6.64,,,DA,,53 ROGIN fiz,,,
"G116
54",,"10.10.2000
ID: 5065",,"VILKE, Mirjana",,"Ways to English 1 : udžbenik engleskog ježika za p Zagreb : Školska knjiga, 1991",,,,,Dar,,5.31,,,DA,,372.880.20 VIL w,,Otpisano 04.12.2023.,
"U116
55",,"08.03.2023
ID: 7213",,"PAVIĆ, Armin",,"Osnove elektrotehnike : 1. dio : udžbenik za 1. ra Zagreb : Element, 2005",,,,,Vlastita kupnja,,5.64,,,DA,,621.3 PAV p,,,
"G117
56",,"05.05.1998
ID: 4176",,"LUPI Vada, Simonetta",,"Škola kuhanja : 3 / Lupi Vada Simonetta ; prevela Beograd : EVRO Trgovinsko knjižarsko preduzeće, 1990",,,,,Vlastita kupnja,,26.54,,,DA,,641 LUPI ško,,,
BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA,
"U117
57",,"08.03.2023
ID: 7214",,"PAVIĆ, Armin",,"Osnove elektrotehnike : 2 dio : udžbenik za 2. raz Zagreb : Element, 2004",,,,,Vlastita kupnja,,5.64,,,DA,,621.3 PAV p,,,
"G122
58",,"10.10.2000
ID: 4922",,"LIPOVEC, Irena",,"Non solo lingua...II : libro per lo studio dell'it Rijeka-Fiume-Reka : Edit, 1994",,,,,Vlastita kupnja,,10.62,,,DA,,805.0 LIP n,,,
"G123
59",,"27.04.2016
ID: 6509",,DJECA koju je,,"Djeca koju je teško odgajati : opis slučajeva iz o Zagreb : Educa, 1996",,,,,Vlastita kupnja,,10.62,,,DA,,37 d DJECA,,,
"G125
60",,"10.10.2006
ID: 3881",,"VRGOČ, Hrvoje",,"Sto dvadeset pet godina Hrvatskog pedagoško-knjiže Zagreb : Hrvatski pedagoško-književni zbor, 1996",,,,,Dar,,3.98,,,DA,,371 VRG S,,,
"G126
61",,"10.10.1998
ID: 3901",,PEDAGOGIJA i hrvatsko,,"Pedagogija i hrvatsko školstvo : jučer i danas za Zagreb : Hrvatski pedagoško-književni zbor, 1996",,,,,Vlastita kupnja,,13.27,,,DA,,37 PEDA 1-2,,Otpisano 13.12.2023.,
"G128
62",,"10.10.2000
ID: 5810",,"ŠETIĆ, Nevio",,"Istra između tradicionalnog i modernog : ili o pro Pazin : Naša sloga, 1997",,,,,Dar,,7.96,,,DA,,323.1 ŠET I,,,
"G131
63",,"11.02.2016
ID: 6161",,"ŠIMUNOVIĆ, Dinko",,"Muljika ; Duga ; Alkar / Dinko Šimunović. - Zagreb : Zagrebačka stvarnost, 1995",,,,,Vlastita kupnja,,6.64,,,DA,,886.2 ŠIMU.D MU,,,
"G134
64",,"10.10.2000
ID: 5810",,"ŠETIĆ, Nevio",,"Istra između tradicionalnog i modernog : ili o pro Pazin : Naša sloga, 1997",,,,,Dar,,7.96,,,DA,,323.1 ŠET I,,,
"G135
65",,"10.10.1999
ID: 5182",,"ROSANDIĆ, Dragutin",,"Književnost 1 : udžbenik za 1. razred ekonomskih š Zagreb : Školske novine, 1996",,,,,Dar,,7.96,,,DA,,82(091) ROS KNJ1,,Otpisano 23.12.2019.,
"G136
66",,"10.10.1999
ID: 5183",,"PANDŽIĆ, Vlado",,"Književnost 3 : udžbenik za 3. razred ekonomskih š Zagreb : Školske novine, 1996",,,,,Dar,,6.64,,,DA,,37 PANDŽ knj,,,
"G137
67",,"10.10.2000
ID: 5184",,"KEKEZ, Josip",,"Književnost 2 : udžbenik za 2. razred ekonomskih š Zagreb : Školske novine, 1996",,,,,Dar,,6.64,,,DA,,372 KEK k,,,
"G138
68",,"09.10.2001
ID: 4936",,"MIŠKULIN-ČUBRIĆ, Dolores",,"L'italiano per l'operatore turistico e alberghiero Zagreb : Školska knjiga, 2001",,,,,Vlastita kupnja,,2.65,,,DA,,372.881.113.11(075.3) MIŠ l,,,
"G139
69",,"15.09.1996
ID: 2338",,DOPRINOS Hrvatske pobjedi,,"Doprinos Hrvatske pobjedi antifašističke koalicije Zagreb : Odbor za obilježavanje 50 obljetnice pobjede antif., 1995.-",,,,,Vlastita kupnja,,3.98,,,DA,,949.75 DOP,,,
"G142
70",,"10.10.2000
ID: 5454",,"JAGODIĆ, Boško",,"Matematika za prvi razred industrijskih i obrtničk Zagreb : Centar za dopisno obrazovanje Birotehnika, 1996",,,,,Dar,,6.64,,,DA,,51(075) JAG m,,,
BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA,
"G143
71",,"10.10.2000
ID: 5453",,"MRKONJIĆ, Ivan",,"Matematika: za drugi razred industrijskih i obrtni Zagreb: Birotehnika, 1996",,,,,Dar,,6.64,,,DA,,51(076) MRK m,,,
"G145
72",,"16.02.2016
ID: 6195",,SUDBINE i djela,,"Sudbine i djela : književnost, umjetnost, jezikosl Zagreb : Školske novine [etc.], 1996",,,,,Dar,,11.95,,,DA,,821.163.42.09 SUD,,,
"G146
73",,"16.02.2016
ID: 6198",,"NIKOLIĆ, Vinko",,"U službi domovine : studije, ogledi, portreti / Vi Zagreb : Školske novine [etc.], 1996",,,,,Dar,,11.95,,,DA,,886.2 NIK.V U,,,
"G147
74",,"16.02.2016
ID: 6197",,CVRČAK u boriku,,"Cvrčak u boriku : poezija i proza / priredio Ante Zagreb : Školske novine [etc.], 1996",,,,,Dar,,11.95,,,DA,,886.2 CVR,,,
"G148
75",,"16.02.2016
ID: 6196",,"BLAŽEKOVIĆ, Milan",,"Bio-bibliografski leksikon suradnika Hrvatske revi Zagreb : Školske novine [etc.], 1996",,,,,Dar,,11.95,,,DA,,Č 03 BLAŽ B,,,
"G150
76",,"10.10.1999
ID: 5291",,"BRČIĆ Stipčević, Vesna",,"Trgovačko poslovanje 2 : udžbenik za srednje trgov Zagreb : Školska knjiga, 1996",,,,,Dar,,6.64,,,DA,,65 BRČIĆ trg,,,
"G151
77",,"10.10.1998
ID: 4944",,"IVANČIĆ, Loredana",,"Deutsch im Tourismus : udžbenik njemačkog jezika z Zagreb : Školska knjiga, 1994",,,,,Vlastita kupnja,,5.31,,,DA,,811.112.2 IVA D,,,
"G152
78",,"22.02.2016
ID: 6237",,ČITANKA iz stranih,,"Čitanka iz stranih književnosti / [priredila] Neve Zagreb : Školska knjiga, 1989",,,,,Vlastita kupnja,,23.89,,,DA,,82(091) KOŠ Č-1-16.izd.,,,
"G155
79",,"10.10.1999
ID: 5067",,"VILKE, Mirjana",,"Ways to english 1 : handbook : radni priručnik za Zagreb : Školska knjiga, 1991",,,,,Dar,,3.98,,,DA,,811.111(076) VILKE w2,,Otpisano 04.12.2023.,
"G157
80",,"10.10.1999
ID: 5200",,"ROSANDIĆ, Dragutin",,"Književnost 1 : čitanka s pregledom književnosti / Zagreb : Školska knjiga, 1995",,,,,Dar,,6.64,,,DA,,372 ROS k,,,
"G158
81",,"10.10.2000
ID: 4241",,"ŠIMUNIĆ, Mijo",,"Zašto ne pušiti? : 515 pitanja i odgovora / Mijo Š Zagreb : 4P, 1996",,,,,Vlastita kupnja,,6.64,,,DA,,613 ŠIMUN zaš,,,
"G160
82",,"11.02.2016
ID: 6164",,UVOD u novinarstvo,,"Uvod u novinarstvo / napisali Berens, Bešker, Bjor Zagreb : Izvori, 1996",,,,,Vlastita kupnja,,14.60,,,DA,,07 UVODU,,,
"G161
83",,"02.10.2000
ID: 5808",,"BERTOŠA, Miroslav",,"Istra : doba Venecije : (XVI-XVII. stoljeće) / Mir Pula : Zavičajna naklada ˝Žakan Juri˝, 1995",,,,,Dar,,66.36,,,DA,,949.75 BER I,,,
"G163
84",,"09.02.2016
ID: 6121",,PJESNICI druge moderne,,"Pjesnici druge moderne : (Jure Kaštelan, Vesna Par ABC naklada, 1996",,,,,Vlastita kupnja,,9.29,,,DA,,886.2 PJES,,,
BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA,
"G164
85",,"10.10.2000
ID: 5991",,"TEŽAK, Stjepko",,"Hrvatski naš svagdašnji / Stjepko TeIzak. - Zagreb : Školske novine, 1991",,,,,Vlastita kupnja,,13.27,,,DA,,801.1 TEŽAK hrv,,,
"G165
86",,"10.10.2000
ID: 4242",,"MANENICA, Bariša",,"Ovisnosti : sredstva ovisnosti (psihoaktivna sreds Zagreb : vl. naklada, 1996",,,,,Vlastita kupnja,,13.27,,,DA,,613 MAN o,,,
"G168
87",,"10.10.2000
ID: 5998",,"DRŽIĆ, Marin",,"Skup ; Novela od Stanca / Marin Držić. - Zagreb : ˝Katarina Zrinska˝, 1996",,,,,Vlastita kupnja,,6.64,,,DA,,886 DRŽ S,,,
"G169
88",,"10.10.2002
ID: 3256",,AESCHYLUS,,"Grčke tragedije / Eshil, Sofoklo, Euripid ; prijev Zagreb : Zagrebačka stvarnost, 1995",,,,,Vlastita kupnja,,6.64,,,DA,,87-2 AESCH grč,,,
"G170
89",,"10.10.1995
ID: 3143",,"KOZARAC, Josip",,"Slavonska šuma ; Tena ; Mrtvi kapitali / Josip Koz Zagreb : Zagrebačka stvarnost, 1995",,,,,Vlastita kupnja,,6.64,,,DA,,886.2 KOZA.J S,,,
"G172
90",,"10.10.1996
ID: 3112",,"HEKTOROVIĆ, Petar",,"Ribanje i ribarsko prigovaranje / Petar Hektorović Zagreb : Zagrebačka stvarnost, 1995",,,,,Vlastita kupnja,,6.64,,,DA,,886.2 HEK R,,,
"G173
91",,"10.10.1996
ID: 3112",,"HEKTOROVIĆ, Petar",,"Ribanje i ribarsko prigovaranje / Petar Hektorović Zagreb : Zagrebačka stvarnost, 1995",,,,,Vlastita kupnja,,6.64,,,DA,,886.2 HEK R,,,
"G174
92",,"10.10.1996
ID: 3133",,"KRANJČEVIĆ, Silvije Strahimir",,"Pjesme / Silvije Strahimir Kranjčević. - Zagreb : Zagrebačka stvarnost, 1995",,,,,Vlastita kupnja,,5.31,,,DA,,886.2 KRANJ P,,,
